anime_id;episodio_num;titulo_episodio;url_video;fonte_url;tipo_player;modo_reproducao;fonte_nome;gratuito_autorizado;drm_paywall;publicar;status_link;adulto_18;observacao
sakamoto-days;1;Episódio 1;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-1/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-1/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;2;Episódio 2;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-2/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-2/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;3;Episódio 3;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-3/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-3/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;4;Episódio 4;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-4/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-4/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;5;Episódio 5;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-5/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-5/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;6;Episódio 6;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-6/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-6/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;7;Episódio 7;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-7/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-7/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;8;Episódio 8;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-8/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-8/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;9;Episódio 9;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-9/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-9/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;10;Episódio 10;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-10/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-10/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
sakamoto-days;11;Episódio 11;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-11/;https://animesonlineclub.net/assistir-sakamoto-days-temporada-1-episodio-11/;iframe_tentativa;sala_externa;AnimesOnlineClub;Revisar;Nao;Nao;Revisar;False;Fonte externa mapeada. Revisar autorização/incorporação antes de publicar.
