registro_id;episodio_informado_home;player_page_url;tipo_player;modo_reproducao;fonte_nome;gratuito_autorizado;drm_paywall;publicar;status_link;observacao
anizero-video-58010;10;https://anizero.org/video/58010/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58009;11;https://anizero.org/video/58009/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58008;9;https://anizero.org/video/58008/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58007;8;https://anizero.org/video/58007/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58005;12;https://anizero.org/video/58005/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58003;11;https://anizero.org/video/58003/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58002;11;https://anizero.org/video/58002/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58001;10;https://anizero.org/video/58001/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-58000;10;https://anizero.org/video/58000/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57999;9;https://anizero.org/video/57999/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57998;9;https://anizero.org/video/57998/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57996;8;https://anizero.org/video/57996/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57995;12;https://anizero.org/video/57995/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57994;11;https://anizero.org/video/57994/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57992;11;https://anizero.org/video/57992/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
anizero-video-57990;10;https://anizero.org/video/57990/;iframe_tentativa;sala_externa;Anizero;Revisar;Nao;Nao;Revisar;URL de player identificada na home; anime/título não exposto no HTML público.
