origem;url_origem;tipo_filtro;categoria;slug;kageplay_grupo;adulto_18;mostrar_menu;acao_recomendada;observacao
AniZero;https://anizero.org/lista-de-animes/;Idioma;Legendado;legendados;Idioma;False;True;Mapear;Filtro AniZero: tipo de vídeo legendado
AniZero;https://anizero.org/lista-de-animes/;Idioma;Dublado;dublados;Idioma;False;True;Mapear;Filtro AniZero: tipo de vídeo dublado
AniZero;https://anizero.org/lista-de-animes/;Status;Completo;completo;Status;False;True;Mapear;Filtro AniZero: status completo
AniZero;https://anizero.org/lista-de-animes/;Status;Lançamento;lancamento;Status;False;True;Mapear;Filtro AniZero: status lançamento
AniZero;https://anizero.org/lista-de-animes/;Formato;Anime;anime;Formato;False;True;Mapear;Filtro AniZero: formato anime
AniZero;https://anizero.org/lista-de-animes/;Formato;Filme;filmes;Formato;False;True;Mapear;Filtro AniZero: formato filme
AniZero;https://anizero.org/lista-de-animes/;Genero;Romance;romance;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Shoujo;shoujo;Subgenero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Vida Escolar;vida-escolar;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Ação;acao;Genero;False;True;Mapear;Normalizado para Acao no catálogo
AniZero;https://anizero.org/lista-de-animes/;Genero;Ficção Científica;ficcao-cientifica;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Mecha;mecha;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Seinen;seinen;Subgenero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Comédia;comedia;Genero;False;True;Mapear;Normalizado para Comedia no catálogo
AniZero;https://anizero.org/lista-de-animes/;Genero;Drama;drama;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Shounen;shounen;Subgenero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Aventura;aventura;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Ecchi;ecchi-18;Adulto 18+;True;True;Revisar;Categoria marcada como 18+ para evitar publicação automática
AniZero;https://anizero.org/lista-de-animes/;Genero;Jogos;jogos;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Slice of Life;slice-of-life;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Fantasia;fantasia;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Mistério;misterio;Genero;False;True;Mapear;Normalizado para Misterio no catálogo
AniZero;https://anizero.org/lista-de-animes/;Genero;Superpoder;superpoder;Genero;False;True;Mapear;Gênero AniZero
AniZero;https://anizero.org/lista-de-animes/;Genero;Artes Marciais;artes-marciais;Genero;False;True;Mapear;Gênero AniZero
